LoopNumber,Date,Time,Latitude1,Longtitude1,Latitude2,Longtitude2,distance,km/s,km/hr,Country,City,LatAccuracy,LongAccuracy
1572,07/05/2022,01:16:22:293334,36.76220176,-27.63080251,36.96795279,-27.33867751,34.62358468,6.924716936,24928.98097,PT,Angra do Heroismo,1.682047207,0.122007513
1573,07/05/2022,01:16:27:584782,36.99691593,-27.2973254,37.20166307,-27.0033502,34.61331347,6.922662694,24921.5857,PT,Arrifes,0.565006926,1.303350196
1574,07/05/2022,01:16:32:878415,37.21324571,-26.98663284,37.4171466,-26.69078983,34.6199784,6.923995679,24926.38444,PT,Arrifes,0.3495234,0.99078983
1575,07/05/2022,01:16:38:583592,37.42871071,-26.67392261,37.63170134,-26.37626932,34.61788684,6.923577367,24924.87852,PT,Arrifes,0.134968663,0.67626932
1576,07/05/2022,01:16:43:880388,37.65984393,-26.33476538,37.86179925,-26.03520363,34.60863382,6.921726764,24918.21635,PT,Arrifes,0.095129249,0.335203631
1577,07/05/2022,01:16:49:164564,37.87343729,-26.01784779,38.07450262,-25.71637177,34.61447863,6.922895725,24922.42461,PT,Rabo de Peixe,0.274502619,0.133041771
1578,07/05/2022,01:16:54:874362,38.08552886,-25.69974937,38.28565286,-25.39640876,34.61325293,6.922650585,24921.54211,PT,Furnas,0.50998286,0.086058756
1579,07/05/2022,01:17:00:171408,38.3135737,-25.35383679,38.51261822,-25.04853778,34.60351635,6.920703269,24914.53177,PT,Furnas,0.736948221,0.261812221
1580,07/05/2022,01:17:05:455612,38.52409672,-25.03083416,38.72221337,-24.72356757,34.60961645,6.92192329,24918.92384,PT,Furnas,0.946543374,0.586782433
1581,07/05/2022,01:17:11:164451,38.73307684,-24.70662493,38.93021341,-24.39744389,34.60844066,6.921688132,24918.07727,PT,Furnas,1.154543406,0.912906115
1582,07/05/2022,01:17:16:455759,38.95767402,-24.35411344,39.15368959,-24.04292242,34.59874331,6.919748662,24911.09518,PT,Furnas,1.378019594,1.267427577
1583,07/05/2022,01:17:21:746880,39.16476676,-24.02523627,39.35981239,-23.71203373,34.60439835,6.92087967,24915.16681,PT,Furnas,1.584142394,1.598316266
